"uid","domainID","siteID","plotID","date","night","eventID","setTraps","disturbedTraps","samplingEffort","samplingProtocol","identificationReferences","remarks","duplicateNightQF","missingRecordsPerBoutQF"
"C6869326D70B4F0280A27C245A13A70D","D02","SCBI","SCBI_008","2014-05-30",1,"MAM.SCBI.2014.06",95,1,94,"NEON.DOC.000481","NEON.DOC.001908","Light precipitation, heavy fog during processing. Rain overnight",0,0
"A466955E34034995BE3EC2CFF9F4FA19","D02","SCBI","SCBI_039","2014-05-30",1,"MAM.SCBI.2014.06",100,4,96,"NEON.DOC.000481","NEON.DOC.001908","Light precipitation, heavy fog during processing. Rain overnight",0,0
"C7982CA70D994108BBD76418520999E6","D02","SCBI","SCBI_035","2014-05-30",1,"MAM.SCBI.2014.06",95,2,93,"NEON.DOC.000481","NEON.DOC.001908","Rain overnight, many ants near/in traps",0,0
"F6B7E4EF6CD848A49A7E1C5FBCFA1369","D02","SCBI","SCBI_039","2014-05-31",2,"MAM.SCBI.2014.06",100,3,97,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"ECAA1985714749CEA2940FB61FDE3A5F","D02","SCBI","SCBI_008","2014-05-31",2,"MAM.SCBI.2014.06",99,1,98,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"675245177ABF431CBABA3F51B3831425","D02","SCBI","SCBI_035","2014-05-31",2,"MAM.SCBI.2014.06",99,1,98,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"078AEE95496644D982901C306245794A","D02","SCBI","SCBI_039","2014-06-01",3,"MAM.SCBI.2014.06",100,3,97,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"01B1EF5AD89341E586728E503B8F71EF","D02","SCBI","SCBI_035","2014-06-01",3,"MAM.SCBI.2014.06",100,2,98,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"63B94C004A0B4493941AB0C27DC41F0C","D02","SCBI","SCBI_008","2014-06-01",3,"MAM.SCBI.2014.06",100,3,97,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"F052B8EE557C45F29D5EB5F52D3CF320","D02","SCBI","SCBI_003","2014-06-23",1,"MAM.SCBI.2014.07",98,1,97,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"6939A5CA99744CAFA222E80E7B11837F","D02","SCBI","SCBI_004","2014-06-23",1,"MAM.SCBI.2014.07",100,0,100,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"5B746D55D68345FA95731F09B1B1607E","D02","SCBI","SCBI_002","2014-06-23",1,"MAM.SCBI.2014.07",100,1,99,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"211F0ED9F0F84C69A26551BFD9A89DBB","D02","SCBI","SCBI_004","2014-06-24",2,"MAM.SCBI.2014.07",100,0,100,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"2350D3F200F14A3FB9E96A502C61CD18","D02","SCBI","SCBI_003","2014-06-24",2,"MAM.SCBI.2014.07",100,1,99,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"A285510C84694AD6BE11D9E250C21444","D02","SCBI","SCBI_002","2014-06-24",2,"MAM.SCBI.2014.07",100,1,99,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"8CBD21E14C7C4BE29F3A08AC53B1B2A0","D02","SCBI","SCBI_003","2014-06-25",3,"MAM.SCBI.2014.07",100,11,89,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"3B235847ED69463D88E6ACCC2EC0F1CD","D02","SCBI","SCBI_004","2014-06-25",3,"MAM.SCBI.2014.07",100,0,100,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"80FCF31B37A54ED2AEB0BF3870E9A3C9","D02","SCBI","SCBI_002","2014-06-25",3,"MAM.SCBI.2014.07",100,1,99,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"80982BAE2E78414D8D1687EF92AB674D","D02","SCBI","SCBI_039","2014-06-27",1,"MAM.SCBI.2014.07",99,5,94,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"81C6F71D4ED54EA4B375FEABB5A53778","D02","SCBI","SCBI_035","2014-06-27",1,"MAM.SCBI.2014.07",100,3,97,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"DCD439D720F34EC48B7B59D65B8F3F3A","D02","SCBI","SCBI_008","2014-06-27",1,"MAM.SCBI.2014.07",100,5,95,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"6601B80361BB4A3E83361585C3BDD554","D02","SCBI","SCBI_008","2014-06-28",2,"MAM.SCBI.2014.07",100,27,73,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"10A3E845CD91489B86C8AFA3AB75D1FF","D02","SCBI","SCBI_039","2014-06-28",2,"MAM.SCBI.2014.07",100,9,91,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"A8A7A8C1B50C449EB3B292A665D459A0","D02","SCBI","SCBI_035","2014-06-28",2,"MAM.SCBI.2014.07",100,2,98,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"7BA2206D400B4D2396416CE707CE5559","D02","SCBI","SCBI_035","2014-06-30",3,"MAM.SCBI.2014.07",100,11,89,"NEON.DOC.000481","NEON.DOC.001908","Trapping resumed after 1 day delay due to weather",0,0
"FF91B0EA9906436F830D800A5F91E00E","D02","SCBI","SCBI_008","2014-06-30",3,"MAM.SCBI.2014.07",100,6,94,"NEON.DOC.000481","NEON.DOC.001908","Trapping resumed after 1 day delay due to weather. 2 traps set at B10 by accident",0,0
"9546E21A1B834C55B26CE92A947B9C39","D02","SCBI","SCBI_039","2014-06-30",3,"MAM.SCBI.2014.07",100,3,97,"NEON.DOC.000481","NEON.DOC.001908","trapping resumed after 1 day delay due to weather",0,0
"A53C072DCCE6421293D9B287C9D4890E","D02","SCBI","SCBI_002","2014-07-21",1,"MAM.SCBI.2014.08",99,6,93,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"3F0890C4F5F645E2B3A986E9601DEC8C","D02","SCBI","SCBI_004","2014-07-21",1,"MAM.SCBI.2014.08",100,3,97,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"542A93A468CA41D9B8C30F9405803801","D02","SCBI","SCBI_003","2014-07-21",1,"MAM.SCBI.2014.08",99,23,76,"NEON.DOC.000481","NEON.DOC.001908","2 traps set at H5 by accident",0,0
"4BED7C6302C343CBAF536BE069623888","D02","SCBI","SCBI_003","2014-07-22",2,"MAM.SCBI.2014.08",100,29,71,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"423A221D71BB4F1B951F1A390EF71814","D02","SCBI","SCBI_004","2014-07-22",2,"MAM.SCBI.2014.08",100,1,99,"NEON.DOC.000481","NEON.DOC.001908","many of the open and empty traps had ants in them",0,0
"80DC53F41BAC4794BE4B92110A7A5DE5","D02","SCBI","SCBI_002","2014-07-22",2,"MAM.SCBI.2014.08",99,12,87,"NEON.DOC.000481","NEON.DOC.001908","Only 100 traps total; one trap had unknown coordinates. It would replace one of the set and empty traps",0,0
"D4353D4FA73D444F8200B1E280DA7422","D02","SCBI","SCBI_003","2014-07-23",3,"MAM.SCBI.2014.08",100,5,95,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"E2D8CE49495E4F9DA665AC939DAE4AD1","D02","SCBI","SCBI_002","2014-07-23",3,"MAM.SCBI.2014.08",99,8,91,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"D61B5F7A89EE43BA98403CAE901D4630","D02","SCBI","SCBI_004","2014-07-23",3,"MAM.SCBI.2014.08",100,2,98,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"9220621F0A4D48DDA16A24B5A17313F5","D02","SCBI","SCBI_039","2014-07-24",1,"MAM.SCBI.2014.08",99,2,97,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"D61531DB5EAA4A66AECCB2748A2B71E8","D02","SCBI","SCBI_035","2014-07-24",1,"MAM.SCBI.2014.08",98,9,89,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"41C9534564D3408F8BBC6C2A2C8A7221","D02","SCBI","SCBI_008","2014-07-24",1,"MAM.SCBI.2014.08",99,10,89,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"5798E0E457CC477AA857A8BF29346FF2","D02","SCBI","SCBI_039","2014-07-25",2,"MAM.SCBI.2014.08",100,2,98,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"930D24A264704A60B2FDF9ED956E3867","D02","SCBI","SCBI_035","2014-07-25",2,"MAM.SCBI.2014.08",100,8,92,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"D4E2B038ECDA45FDA4346F9FD1DBA6C5","D02","SCBI","SCBI_008","2014-07-25",2,"MAM.SCBI.2014.08",99,17,82,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"E8F5DDB2FADB4293A09BC39E1ED08381","D02","SCBI","SCBI_035","2014-07-26",3,"MAM.SCBI.2014.08",99,1,98,"NEON.DOC.000481","NEON.DOC.001908","Only 100 traps total, one trap with unknown location as (X,X) would replace one trap that is set and empty",0,0
"28C3176D3E80469E982F350CB2C6E01C","D02","SCBI","SCBI_008","2014-07-26",3,"MAM.SCBI.2014.08",100,3,97,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"E1989E4BD59647DE8116FDACA1754CA5","D02","SCBI","SCBI_039","2014-07-26",3,"MAM.SCBI.2014.08",100,5,95,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"C2A4A0A59E02427C89D93F749B631B38","D02","SCBI","SCBI_002","2014-08-18",1,"MAM.SCBI.2014.09",100,12,88,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"9B186EA1ED5141F2933F22D94758696F","D02","SCBI","SCBI_035","2014-08-18",1,"MAM.SCBI.2014.09",100,15,85,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"74F5AEB6403F4FE0ADA516B38EB86830","D02","SCBI","SCBI_008","2014-08-18",1,"MAM.SCBI.2014.09",100,4,96,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"C68B6A9514C9451DBF1A8BB5270DC8A0","D02","SCBI","SCBI_008","2014-08-19",2,"MAM.SCBI.2014.09",100,15,85,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"2497C5CE24A24FA59B23E7FA77F92E16","D02","SCBI","SCBI_002","2014-08-19",2,"MAM.SCBI.2014.09",100,12,88,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"C4ACA76269794B4891800149AECE0C84","D02","SCBI","SCBI_035","2014-08-19",2,"MAM.SCBI.2014.09",100,18,82,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"61826236210B41C9BA2310A4CBFE01B0","D02","SCBI","SCBI_008","2014-08-20",3,"MAM.SCBI.2014.09",100,10,90,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"132DD61CBCC9401882F8E58DF574F290","D02","SCBI","SCBI_035","2014-08-20",3,"MAM.SCBI.2014.09",100,32,68,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"0E5841564AE1482691E990562D648B80","D02","SCBI","SCBI_002","2014-08-20",3,"MAM.SCBI.2014.09",100,2,98,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"2704FE4FA2ED46CD9590BCC9B993FAEB","D02","SCBI","SCBI_004","2014-08-21",1,"MAM.SCBI.2014.09",99,14,85,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"F704B87AE2154949A0B9DC078B64FD6D","D02","SCBI","SCBI_039","2014-08-21",1,"MAM.SCBI.2014.09",77,4,73,"NEON.DOC.000481","NEON.DOC.001908","Only 77 traps set due to impending thunderstorm at setting time",0,0
"0CEE53F4462E4B0D874155C0D5DFEC3A","D02","SCBI","SCBI_003","2014-08-21",1,"MAM.SCBI.2014.09",100,37,63,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"9C18959FCE2440BCAC12714B5F9AB4E8","D02","SCBI","SCBI_004","2014-08-22",2,"MAM.SCBI.2014.09",100,11,89,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"8B4A19498E854C1F9349CB67CA566445","D02","SCBI","SCBI_039","2014-08-22",2,"MAM.SCBI.2014.09",100,4,96,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"3BA265358D6E46C5A3D1A3484B28D4B9","D02","SCBI","SCBI_003","2014-08-22",2,"MAM.SCBI.2014.09",0,0,0,"NEON.DOC.000481","NEON.DOC.001908","We did not set traps at this plot due to high disturbance of traps on the first trapping night",0,0
"F3976E51CD9A4592B51ABCF891E77861","D02","SCBI","SCBI_004","2014-08-23",3,"MAM.SCBI.2014.09",100,13,87,"NEON.DOC.000481","NEON.DOC.001908",,1,0
"D880BEAD2571442A86BA2C27D3E78545","D02","SCBI","SCBI_003","2014-08-23",3,"MAM.SCBI.2014.09",0,0,0,"NEON.DOC.000481","NEON.DOC.001908","We did not set traps at this plot due to high disturbance of traps on the first trapping night",0,0
"042CCA056EA142398F974F0059CBAFC0","D02","SCBI","SCBI_039","2014-08-23",3,"MAM.SCBI.2014.09",100,6,94,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"5FA468A9FFDC44CDA53855F5EA3EB481","D02","SCBI","SCBI_003","2014-09-17",1,"MAM.SCBI.2014.10",100,9,91,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"81F718765A204A78B79BA867ECB0754F","D02","SCBI","SCBI_004","2014-09-17",1,"MAM.SCBI.2014.10",100,7,93,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"8A0FF510AFE342C1BDF1A15FD137A6D1","D02","SCBI","SCBI_002","2014-09-17",1,"MAM.SCBI.2014.10",100,2,98,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"D98AE8AE175C41429A11C9BAEE92AC91","D02","SCBI","SCBI_004","2014-09-18",2,"MAM.SCBI.2014.10",100,8,92,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"7A4B0A7D98B54A208B514A64E80145E3","D02","SCBI","SCBI_003","2014-09-18",2,"MAM.SCBI.2014.10",100,79,21,"NEON.DOC.000481","NEON.DOC.001908","High trap disturbance, likely due to resident black bear",0,0
"CFC78183FA3C4F3DB67B8FD6C6692122","D02","SCBI","SCBI_002","2014-09-18",2,"MAM.SCBI.2014.10",100,8,92,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"DDD93EE340EE4E28B2E9E26DB292E247","D02","SCBI","SCBI_004","2014-09-19",3,"MAM.SCBI.2014.10",100,3,97,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"054FDF59CA7849A6ADBBD85E3567F263","D02","SCBI","SCBI_003","2014-09-19",3,"MAM.SCBI.2014.10",100,57,43,"NEON.DOC.000481","NEON.DOC.001908","Many traps disturbed, 1 destroyed. Likely due to black bear",0,0
"3532E220D60442609751262E7E14C0A1","D02","SCBI","SCBI_002","2014-09-19",3,"MAM.SCBI.2014.10",100,3,97,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"7AAC05275CDF4CA0AB40F97C1357773E","D02","SCBI","SCBI_035","2014-09-22",1,"MAM.SCBI.2014.10",100,3,97,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"0DD06AECE567415F8AB0EB0E701ECCB8","D02","SCBI","SCBI_008","2014-09-22",1,"MAM.SCBI.2014.10",99,3,96,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"B1F025D2949040DA9745B1C25F90340E","D02","SCBI","SCBI_035","2014-09-23",2,"MAM.SCBI.2014.10",100,2,98,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"4DC9C6AB95114CB387334E050548937C","D02","SCBI","SCBI_008","2014-09-23",2,"MAM.SCBI.2014.10",100,5,95,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"74C3222A05C74E5995F67305D78B52A1","D02","SCBI","SCBI_035","2014-09-24",3,"MAM.SCBI.2014.10",100,1,99,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"269C7B4A6E0F4936B5D5560BBB1ED709","D02","SCBI","SCBI_008","2014-09-24",3,"MAM.SCBI.2014.10",100,2,98,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"4F51417C03C04A6C97AD27E8ED511DE2","D02","SCBI","SCBI_035","2014-10-14",1,"MAM.SCBI.2014.11",100,6,94,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"4AAED92C75FC43438E129B5EA80FC6F8","D02","SCBI","SCBI_002","2014-10-14",1,"MAM.SCBI.2014.11",100,9,91,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"E3C9A3B013EC4E12AEC725CDE2D9A403","D02","SCBI","SCBI_008","2014-10-14",1,"MAM.SCBI.2014.11",100,5,95,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"BB8DC9C9411C4CC1BF75CD03CB83505D","D02","SCBI","SCBI_002","2014-10-15",2,"MAM.SCBI.2014.11",0,0,0,"NEON.DOC.000481","NEON.DOC.001908","No trapping/processing occurred on this morning as traps were not set the preceding night due to prolonged severe thunderstorms",0,0
"2934CF2245834445A5D05DE70E81B9D7","D02","SCBI","SCBI_035","2014-10-15",2,"MAM.SCBI.2014.11",0,0,0,"NEON.DOC.000481","NEON.DOC.001908","No trapping/processing occurred on this morning as traps were not set the preceding night due to prolonged severe thunderstorms",0,0
"BE3C56D6EE9147E0A99E69895709E55A","D02","SCBI","SCBI_008","2014-10-15",2,"MAM.SCBI.2014.11",0,0,0,"NEON.DOC.000481","NEON.DOC.001908","No trapping/processing occurred on this morning as traps were not set the preceding night due to prolonged severe thunderstorms",0,0
"26A0E6AE23E2435985F222D8A6C7A8C4","D02","SCBI","SCBI_008","2014-10-16",3,"MAM.SCBI.2014.11",100,8,92,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"771382C3DEBA4DA39A61A93EF7BABE6D","D02","SCBI","SCBI_035","2014-10-16",3,"MAM.SCBI.2014.11",100,7,93,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"8793410EDAFC449589DD77FF1D1AA550","D02","SCBI","SCBI_002","2014-10-16",3,"MAM.SCBI.2014.11",100,7,93,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"AE29767DD5414B3DAEFAA815B10A9446","D02","SCBI","SCBI_008","2015-04-14",1,"MAM.SCBI.2015.04",92,7,85,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"4BE8DA9E01074E9BAD57E5FFD21FC66F","D02","SCBI","SCBI_035","2015-04-14",1,"MAM.SCBI.2015.04",93,12,81,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"0BF7E0376F9A444C86F3B693674419B0","D02","SCBI","SCBI_008","2015-04-15",2,"MAM.SCBI.2015.04",99,15,84,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"A71D9F8389054C3FA38B82D838AAC352","D02","SCBI","SCBI_035","2015-04-15",2,"MAM.SCBI.2015.04",98,5,93,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"20D1A7D2CD0E483582DFCB4203E78706","D02","SCBI","SCBI_035","2015-04-16",3,"MAM.SCBI.2015.04",100,0,100,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"93E5195AC14245FA93FF80C0355AC4B8","D02","SCBI","SCBI_002","2015-04-16",1,"MAM.SCBI.2015.04",98,5,93,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"FF1A279FD21F4592860A5EFDFF1ECB78","D02","SCBI","SCBI_008","2015-04-16",3,"MAM.SCBI.2015.04",99,3,96,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"8BA8181081744057BED9261B5F953B7D","D02","SCBI","SCBI_002","2015-04-17",2,"MAM.SCBI.2015.04",99,3,96,"NEON.DOC.000481","NEON.DOC.001908",,0,0
"AB53DDE6305444318703BAEE147D7664","D02","SCBI","SCBI_003","2015-04-17",1,"MAM.SCBI.2015.04",100,51,49,"NEON.DOC.000481","NEON.DOC.001908",,0,1
"C33D652B9E42451498C80729AF95A271","D02","SCBI","SCBI_002","2015-04-18",3,"MAM.SCBI.2015.04",97,6,91,"NEON.DOC.000481","NEON.DOC.001908",,0,0
