"uid","domainID","siteID","plotID","trapCoordinate","date","eventID","trapStatus","duplicateTrapCoordinateQF"
"1A12F7AEB1864819BBB339005E23B097","D02","SERC","SERC_014","D10","2015-04-20","MAM.SERC.2015.04",6,0
"BA0CFA3F238048C09C06921D1E20F36D","D02","SERC","SERC_008","B3","2015-04-20","MAM.SERC.2015.04",6,0
"D07F3B0B249F44EF84DC8FA2A5BB7E35","D02","SERC","SERC_008","B9","2015-04-20","MAM.SERC.2015.04",2,0
"C14D1A66A24E42719711B3670C62C036","D02","SERC","SERC_008","B5","2015-04-20","MAM.SERC.2015.04",6,0
"D9635683A6C041D2ACAFBF7EE2ADE91C","D02","SERC","SERC_014","I10","2015-04-20","MAM.SERC.2015.04",6,0
"D4DA0B5298F74E3E8F463F7855839BD4","D02","SERC","SERC_008","H10","2015-04-20","MAM.SERC.2015.04",2,0
"ADCFB19175C84D40802021B6FC11D433","D02","SERC","SERC_008","E10","2015-04-20","MAM.SERC.2015.04",6,0
"896920A8B02F4DD1ADD95AF7070F3E05","D02","SERC","SERC_008","A10","2015-04-20","MAM.SERC.2015.04",6,0
"6B7C09C2B6CD4A48A9407E064C01E68E","D02","SERC","SERC_007","H10","2015-04-20","MAM.SERC.2015.04",6,0
"20BD7E5F4ECE4374AB4EC8B00D584440","D02","SERC","SERC_007","C10","2015-04-20","MAM.SERC.2015.04",6,0
"9674BF3A4807483DA86FB57F7D2EECFD","D02","SERC","SERC_015","C10","2015-04-20","MAM.SERC.2015.04",1,0
"F9AAE710EA9548B399622E5EAC790263","D02","SERC","SERC_015","G10","2015-04-20","MAM.SERC.2015.04",6,0
"C73E94FBC53E459CA6325B97AF7FAEEF","D02","SERC","SERC_008","J8","2015-04-20","MAM.SERC.2015.04",2,0
"282C19A0608E4D418961D91C1E90B9F3","D02","SERC","SERC_008","I8","2015-04-20","MAM.SERC.2015.04",2,0
"24BEE5BF7A3B49AFA3D3DC45A08DCFAE","D02","SERC","SERC_008","I7","2015-04-20","MAM.SERC.2015.04",2,0
"8793C8F3DCC64566BF8AFCF57C73559B","D02","SERC","SERC_008","I9","2015-04-20","MAM.SERC.2015.04",2,0
"441DA2CE2D5D4EE59DDF9C5DE38277F5","D02","SERC","SERC_015","E3","2015-04-20","MAM.SERC.2015.04",6,0
"D65D4B359ADF4C3D9F53A28B0751ED05","D02","SERC","SERC_015","E4","2015-04-20","MAM.SERC.2015.04",5,0
"102268FD8EA04D9D8D91136162B26805","D02","SERC","SERC_015","E5","2015-04-20","MAM.SERC.2015.04",6,0
"0166893CC3474823A71B5855B6B91E56","D02","SERC","SERC_015","E6","2015-04-20","MAM.SERC.2015.04",6,0
"9EC5E95B56BE4072A74BFC425F63C1B0","D02","SERC","SERC_015","E7","2015-04-20","MAM.SERC.2015.04",6,0
"C6BE29386A0A401294B153ADFDCA6160","D02","SERC","SERC_015","E8","2015-04-20","MAM.SERC.2015.04",2,0
"FBAE62BAD24B46A5A745F738E4017FB8","D02","SERC","SERC_015","E9","2015-04-20","MAM.SERC.2015.04",6,0
"A51B73F8581B4A918FA2A702E72F353C","D02","SERC","SERC_015","F1","2015-04-20","MAM.SERC.2015.04",6,0
"0845778DFB134439AAD6F5FBF8DB69FA","D02","SERC","SERC_015","F3","2015-04-20","MAM.SERC.2015.04",6,0
"FE88ABEFD352484E9A3CCA821A15A642","D02","SERC","SERC_015","F2","2015-04-20","MAM.SERC.2015.04",6,0
"33D1DF0204FB4B0FA87F0A0F55533697","D02","SERC","SERC_015","H10","2015-04-20","MAM.SERC.2015.04",6,0
"E123C458FFF341F7B9998906215003DB","D02","SERC","SERC_014","E10","2015-04-20","MAM.SERC.2015.04",6,0
"BBCECD1B85C547A7A35592907B4958E4","D02","SERC","SERC_014","A10","2015-04-20","MAM.SERC.2015.04",6,0
"EE58CA62C4BB4C97B3FF0421D3028775","D02","SERC","SERC_015","C6","2015-04-20","MAM.SERC.2015.04",2,0
"E9226F0239C84D81849EDF084753E3F1","D02","SERC","SERC_015","C8","2015-04-20","MAM.SERC.2015.04",6,0
"FF2C9F54B2E247F994C1F31C4B6024CE","D02","SERC","SERC_015","C2","2015-04-20","MAM.SERC.2015.04",2,0
"B758D451458E4163914899262752DD59","D02","SERC","SERC_015","C4","2015-04-20","MAM.SERC.2015.04",6,0
"18593ABC099E4827B648D963115087C8","D02","SERC","SERC_015","D1","2015-04-20","MAM.SERC.2015.04",6,0
"C7DBC83EA96D4BEEB42B1B834685CAF9","D02","SERC","SERC_015","F7","2015-04-20","MAM.SERC.2015.04",2,0
"A672CD585A334E0DBA34054B7C8C1CD7","D02","SERC","SERC_015","F5","2015-04-20","MAM.SERC.2015.04",5,0
"D8CCAF0E9BA645459C018021ECED01E1","D02","SERC","SERC_015","F8","2015-04-20","MAM.SERC.2015.04",6,0
"71B250909D364686A5D48253A3B6187B","D02","SERC","SERC_015","F9","2015-04-20","MAM.SERC.2015.04",2,0
"FAE56C3764464FA798928C66C341CCD6","D02","SERC","SERC_015","G4","2015-04-20","MAM.SERC.2015.04",6,0
"74AD9B1E7B484E6595970D343083FA51","D02","SERC","SERC_015","G3","2015-04-20","MAM.SERC.2015.04",1,0
"F493CE602FFC4ADBA62A746F2F587938","D02","SERC","SERC_015","G2","2015-04-20","MAM.SERC.2015.04",6,0
"BE872CCAFD784162A84A7ECE97419A57","D02","SERC","SERC_015","G1","2015-04-20","MAM.SERC.2015.04",6,0
"C387D896405A4692983BF0EA67D6BD04","D02","SERC","SERC_014","I9","2015-04-20","MAM.SERC.2015.04",6,0
"B4988B92D7A944ED861757CF54DEB4AA","D02","SERC","SERC_007","D10","2015-04-20","MAM.SERC.2015.04",6,0
"286D500D49754F5E865B2EA931449B59","D02","SERC","SERC_015","I7","2015-04-20","MAM.SERC.2015.04",1,0
"DF03E2103D8949D683178FDDB6A52990","D02","SERC","SERC_015","J1","2015-04-20","MAM.SERC.2015.04",6,0
"BF95EDC1E0AC40C6A1F8B1793BFFE8DB","D02","SERC","SERC_015","J3","2015-04-20","MAM.SERC.2015.04",5,0
"C276D6F923A34B09A9BAE09E9FADAEC2","D02","SERC","SERC_015","J5","2015-04-20","MAM.SERC.2015.04",6,0
"0DB51D27FCB54E58BEADADD89B43A29E","D02","SERC","SERC_015","J7","2015-04-20","MAM.SERC.2015.04",6,0
"954D4FBE9A8844AAB9CFFD17417B0347","D02","SERC","SERC_015","D8","2015-04-20","MAM.SERC.2015.04",6,0
"7A4363A14C6D4FFFA6DCC1ED631C0B8D","D02","SERC","SERC_015","D6","2015-04-20","MAM.SERC.2015.04",6,0
"D066D61935AB45F3A2ABF30ACC5F70FF","D02","SERC","SERC_015","D7","2015-04-20","MAM.SERC.2015.04",6,0
"EA24AB80F3344C9CBB4BA9BE4071336C","D02","SERC","SERC_015","D5","2015-04-20","MAM.SERC.2015.04",2,0
"AA1EF2B64BD741B690A42ACE1054A74B","D02","SERC","SERC_015","D3","2015-04-20","MAM.SERC.2015.04",6,0
"AB49117275794F839327F1D2CB7BB52B","D02","SERC","SERC_015","E1","2015-04-20","MAM.SERC.2015.04",6,0
"92A18890D5124F79AC47130FF6B4A4E3","D02","SERC","SERC_015","I5","2015-04-20","MAM.SERC.2015.04",6,0
"0B91DE66D8974C28868A7D35819EA721","D02","SERC","SERC_015","I3","2015-04-20","MAM.SERC.2015.04",6,0
"883DD069170849329E6EA3D3EF33C5B7","D02","SERC","SERC_015","I1","2015-04-20","MAM.SERC.2015.04",6,0
"05537091F6CA4AB7B21D6EA8BBE1C52E","D02","SERC","SERC_015","G9","2015-04-20","MAM.SERC.2015.04",6,0
"8366B9EE2831483C8D8D7F5A381CFA2F","D02","SERC","SERC_015","G5","2015-04-20","MAM.SERC.2015.04",6,0
"1E29FDC75D2B4F4EA9BA4F51272ED958","D02","SERC","SERC_015","G7","2015-04-20","MAM.SERC.2015.04",2,0
"8794252311C7418396E86F5951717899","D02","SERC","SERC_015","H3","2015-04-20","MAM.SERC.2015.04",6,0
"AABB5A049069492B892AA840E589605D","D02","SERC","SERC_015","H5","2015-04-20","MAM.SERC.2015.04",6,0
"29F00700CAF441A7994966EEA1344D60","D02","SERC","SERC_014","J5","2015-04-20","MAM.SERC.2015.04",6,0
"3D3DF59AB62C465D9500EC55FFD3EF23","D02","SERC","SERC_015","J9","2015-04-20","MAM.SERC.2015.04",2,0
"A8FB3247D8044D36A5EC5498C07F4DF6","D02","SERC","SERC_015","J8","2015-04-20","MAM.SERC.2015.04",6,0
"8DC19497348D4C75AEF424BF5F3776E0","D02","SERC","SERC_014","J1","2015-04-20","MAM.SERC.2015.04",6,0
"60E92A41586C44C4BC47B813FFA9F009","D02","SERC","SERC_014","J3","2015-04-20","MAM.SERC.2015.04",6,0
"D168DFE28422498895211C68C05D87C0","D02","SERC","SERC_008","D10","2015-04-20","MAM.SERC.2015.04",6,0
"F1DFAF97AE0D47858A641BA07687F303","D02","SERC","SERC_015","B8","2015-04-20","MAM.SERC.2015.04",6,0
"1036C0BD3BC2488EA65FF0A194F54D72","D02","SERC","SERC_015","B3","2015-04-20","MAM.SERC.2015.04",6,0
"0F87A4A30E0A467BAF1B35BCA7BFC475","D02","SERC","SERC_015","B5","2015-04-20","MAM.SERC.2015.04",6,0
