"uid","domainID","siteID","plotID","trapCoordinate","date","eventID","trapStatus","duplicateTrapCoordinateQF"
"FA60165C1D1E4DFEA206ACBB6F5CBADA","D03","DSNY","DSNY_004","G6","2013-07-16","MAM.DSNY.2013.07",6,0
"3A63231DABD14149A49F76FF540384FC","D03","DSNY","DSNY_001","B1","2013-07-16","MAM.DSNY.2013.07",6,0
"A511CCE7B87C42BDBECDBC4CC70EA43E","D03","DSNY","DSNY_001","B7","2013-07-16","MAM.DSNY.2013.07",6,0
"7E1A65780DC14C65BEDAB1BB7172E598","D03","DSNY","DSNY_001","B5","2013-07-16","MAM.DSNY.2013.07",6,0
"C456E98EEE514CBDA9B504F0DE52062F","D03","DSNY","DSNY_004","I3","2013-07-16","MAM.DSNY.2013.07",6,0
"930904AD84BF404CADEC09C95251F86A","D03","DSNY","DSNY_004","I6","2013-07-16","MAM.DSNY.2013.07",6,0
"6EAED274736C40AAB652A32BC4A39E43","D03","DSNY","DSNY_004","C6","2013-07-16","MAM.DSNY.2013.07",6,0
"89200A3B4F1D43689ECC31E7034B2BDB","D03","DSNY","DSNY_001","I5","2013-07-16","MAM.DSNY.2013.07",6,0
"62A7701926B54E209882180E08E3828A","D03","DSNY","DSNY_001","I2","2013-07-16","MAM.DSNY.2013.07",6,0
"700D1CF209E245178EBF09E429F60BAE","D03","DSNY","DSNY_009","A3","2013-07-16","MAM.DSNY.2013.07",6,0
"CE32516C2CBD4B379A6CE98F85BBD609","D03","DSNY","DSNY_009","A8","2013-07-16","MAM.DSNY.2013.07",6,0
"5BD83581518441C3B88D4D224788E6C2","D03","DSNY","DSNY_009","A6","2013-07-16","MAM.DSNY.2013.07",6,0
"56B83B49AD9C4A608AB24CE96A8777F3","D03","DSNY","DSNY_004","G1","2013-07-16","MAM.DSNY.2013.07",6,0
"CA0A4504FE9C4BBA88D257AC9F3DD2CF","D03","DSNY","DSNY_004","G4","2013-07-16","MAM.DSNY.2013.07",6,0
"67F724D86F2A458E856051DCC0B1AF5E","D03","DSNY","DSNY_004","F9","2013-07-16","MAM.DSNY.2013.07",6,0
