"uid","domainID","siteID","plotID","date","night","eventID","setTraps","disturbedTraps","samplingEffort","samplingProtocol","identificationReferences","remarks","duplicateNightQF","missingRecordsPerBoutQF"
"B433772D39DE48CFA4D89D804AEB7A42","D03","JERC","JERC_009","2014-05-20",1,"MAM.JERC.2014.06",100,0,100,"NEON.DOC.000481","2006. Peterson ","Did not bleed plot 9. ",0,0
"59F8EBACE5FA49DE816BEF7688FB78CD","D03","JERC","JERC_005","2014-05-20",1,"MAM.JERC.2014.06",7,1,6,"NEON.DOC.000481","2006. Peterson ","All captures released. Arrived at site after 10 am.",0,1
"C471CFE04A1B4E2B9180A1C4254E68D6","D03","JERC","JERC_006","2014-05-20",1,"MAM.JERC.2014.06",100,0,100,"NEON.DOC.000481","2006.Peterson F",,0,0
"909C980A111D4545B347305BC35B2B5E","D03","JERC","JERC_006","2014-05-21",2,"MAM.JERC.2014.06",100,0,100,"NEON.DOC.000481","2006. Peterson ",,0,0
"CF717E86BF324E808C3FC55CDDED2E8C","D03","JERC","JERC_009","2014-05-21",2,"MAM.JERC.2014.06",100,2,98,"NEON.DOC.000481","2006. Peterson ",,0,0
"63BC3E4E93DB42F79F3AFF698136B7E3","D03","JERC","JERC_009","2014-05-22",3,"MAM.JERC.2014.06",100,0,100,"NEON.DOC.000481","2006. Peterson ",,0,0
"D3143FFC96D74A5A820EA786DCECFB1F","D03","JERC","JERC_006","2014-05-22",3,"MAM.JERC.2014.06",100,0,100,"NEON.DOC.000481","2006. Peterson ",,0,0
"B180287BC7A74990A8215B3519310222","D03","JERC","JERC_003","2014-05-28",1,"MAM.JERC.2014.06",5,3,2,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"893CE61E11B8441690C509CAFB3B2DAC","D03","JERC","JERC_005","2014-05-28",1,"MAM.JERC.2014.06",99,0,99,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"2E9E1123ADDB496988CB58E43856EDB5","D03","JERC","JERC_002","2014-05-28",1,"MAM.JERC.2014.06",100,0,100,"NEON.DOC.000481","2006. Peterson ",,0,0
"6A83BE88738340DE991955CB9CE8B820","D03","JERC","JERC_019","2014-05-28",1,"MAM.JERC.2014.06",100,12,88,"NEON.DOC.000481","2006. Peterson ",,1,0
"B3EC919383894E87B8CACB9379B36CDB","D03","JERC","JERC_002","2014-05-29",2,"MAM.JERC.2014.06",100,2,98,"NEON.DOC.000481","2006. Peterson ",,0,0
"48787E3EBDBC4B93B12FF4A6C7124C4D","D03","JERC","JERC_003","2014-05-29",2,"MAM.JERC.2014.06",100,4,96,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"6136D0AA736F4D2B979FDCAAC74E7BF1","D03","JERC","JERC_005","2014-05-29",2,"MAM.JERC.2014.06",100,2,98,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"1750E35329E948309AAFEBF17E1B61AE","D03","JERC","JERC_019","2014-05-29",2,"MAM.JERC.2014.06",100,13,87,"NEON.DOC.000481","2006. Peterson ",,0,0
"757F79FDFCF84EE3BCB78F4314BCC64F","D03","JERC","JERC_003","2014-05-30",3,"MAM.JERC.2014.06",100,4,96,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"9458A7A3BE234C4DB0A7D3D17A07DA2D","D03","JERC","JERC_002","2014-05-30",3,"MAM.JERC.2014.06",100,0,100,"NEON.DOC.000481","2006. Peterson ",,0,0
"07D01C9D14ED4351A9CA2065D11003BE","D03","JERC","JERC_019","2014-05-30",3,"MAM.JERC.2014.06",100,21,79,"NEON.DOC.000481","2006. Peterson ",,0,0
"4A50FFFA590A4CA1B137300AF1B36FBF","D03","JERC","JERC_005","2014-05-30",3,"MAM.JERC.2014.06",100,0,100,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"48894A0A92FC41BD98AA71DA0066BC90","D03","JERC","JERC_003","2014-06-25",1,"MAM.JERC.2014.07",100,14,86,"NEON.DOC.000481","Reid, F. 2006. ","Rainstorm previous night",0,0
"C7B3F20482AB4A499D40472500165FAF","D03","JERC","JERC_006","2014-06-25",1,"MAM.JERC.2014.07",100,1,99,"NEON.DOC.000481","NEON.DOC.002137",,0,0
"6870BA8A92164010847BA0F87DF5BE2D","D03","JERC","JERC_005","2014-06-25",1,"MAM.JERC.2014.07",100,2,98,"NEON.DOC.000481","Reid, F. 2006. ","Rainstorm previous night",0,0
"149A2E74F375493192816036F5BB5FC3","D03","JERC","JERC_009","2014-06-25",1,"MAM.JERC.2014.07",100,3,97,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"BB901EA2D07947639C42A5373F9873AF","D03","JERC","JERC_005","2014-06-26",2,"MAM.JERC.2014.07",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"6DE943F7C933411FB76BAAEC448DF3CB","D03","JERC","JERC_003","2014-06-26",2,"MAM.JERC.2014.07",100,11,89,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"CE01618A3ACB4BFA8BDD3E4B20F0C9FF","D03","JERC","JERC_006","2014-06-26",2,"MAM.JERC.2014.07",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"37E766B70CCC4914A9ACCEC5A5ACEAAA","D03","JERC","JERC_009","2014-06-26",2,"MAM.JERC.2014.07",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"2F7AA17FC9D94E0BAF29D15265586274","D03","JERC","JERC_006","2014-06-27",3,"MAM.JERC.2014.07",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ","No fecal or ear punches (not enough vials) ",0,0
"EA3F5B94485A4D8F8A08CF3DFF905C31","D03","JERC","JERC_003","2014-06-27",3,"MAM.JERC.2014.07",100,10,90,"NEON.DOC.000481","Reid, F. 2006. ","short on vials, blood is priority ",0,0
"2AE9D9FA1B1D44BCA95C10B7C10DCC28","D03","JERC","JERC_005","2014-06-27",3,"MAM.JERC.2014.07",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ","short on vials, blood is priority ",0,0
"7F2D6441E75142E5A9736507AD7D4889","D03","JERC","JERC_009","2014-06-27",3,"MAM.JERC.2014.07",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"9D57F77B05C147758533BBC3E3940273","D03","JERC","JERC_019","2014-06-28",1,"MAM.JERC.2014.07",100,16,84,"NEON.DOC.000481","Reid, F. 2006. ","Second entry for this plot on 6/29. Some data got missed from the first submission.",1,0
"C955460341844ECB9CE3E71BB7778039","D03","JERC","JERC_002","2014-06-28",1,"MAM.JERC.2014.07",100,1,99,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"AC9D52E5796D4535A3E7D4BB328528E6","D03","JERC","JERC_019","2014-06-29",2,"MAM.JERC.2014.07",100,4,96,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"9BFE2FADCA404B7497D17E9C393D6871","D03","JERC","JERC_002","2014-06-29",2,"MAM.JERC.2014.07",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"DA852BAA33F54AD593D713255BA53423","D03","JERC","JERC_019","2014-06-30",3,"MAM.JERC.2014.07",100,14,86,"NEON.DOC.000481","Reid, F. 2006. ","no fecal or ear punches taken",0,0
"D7F96771693D4434B21C35191CF5F70B","D03","JERC","JERC_002","2014-06-30",3,"MAM.JERC.2014.07",100,1,99,"NEON.DOC.000481","Reid, F. 2006. ","no fecal or ear punches taken",0,0
"A85F7F8FCF894E0E9BD977DB418F7CC6","D03","JERC","JERC_002","2014-08-19",1,"MAM.JERC.2014.09",98,3,95,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"C782BCDE15B342EA8777AD8DEEA11E23","D03","JERC","JERC_003","2014-08-19",1,"MAM.JERC.2014.09",100,7,93,"NEON.DOC.000481"," Reid, F. 2006.",,0,0
"5E20760F94294A16976D09A5A72F7E7B","D03","JERC","JERC_009","2014-08-19",1,"MAM.JERC.2014.09",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"5B421DE96BE7468DBE871A5755628DCE","D03","JERC","JERC_019","2014-08-19",1,"MAM.JERC.2014.09",100,9,91,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"43539BA768C7400FAD1ECFA641E91E3E","D03","JERC","JERC_005","2014-08-19",1,"MAM.JERC.2014.09",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"0346A81ACC324509AAD8882A05E4AACF","D03","JERC","JERC_006","2014-08-19",1,"MAM.JERC.2014.09",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"790919EC5A8147C7A94EA9AB9FD63F65","D03","JERC","JERC_006","2014-08-20",2,"MAM.JERC.2014.09",100,3,97,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"3688E1D3E3C744C8A2B35A7EF3C41B10","D03","JERC","JERC_003","2014-08-20",2,"MAM.JERC.2014.09",100,5,95,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"DD8667DA33BD4F4CA1E4676135400E56","D03","JERC","JERC_009","2014-08-20",2,"MAM.JERC.2014.09",100,3,97,"NEON.DOC.000481","Reid, F. 2006. ","Submitted incomplete JERC 009 8/20, these are missing records.;No earpunches or fecal take from any captures due to over abundance",1,0
"4DDCDFF531494F409026B04FDFDE7FF5","D03","JERC","JERC_019","2014-08-20",2,"MAM.JERC.2014.09",100,3,97,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"E91455F2D4C04A21B0BE850E45646D92","D03","JERC","JERC_005","2014-08-20",2,"MAM.JERC.2014.09",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"277E8D2C94A2458E9C4FF38EEF481918","D03","JERC","JERC_002","2014-08-20",2,"MAM.JERC.2014.09",100,2,98,"NEON.DOC.000481","Reid, F. 2006. ","One record found apart from the others on the end of a datasheet. Needs to be added to the other JERC_002 2014-08-20 submission",1,0
"B30821FDA56645CA9D8C543065CF813F","D03","JERC","JERC_009","2014-08-21",3,"MAM.JERC.2014.09",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ","Due to high capture rates only blood collected",0,0
