"uid","domainID","siteID","plotID","date","night","eventID","setTraps","disturbedTraps","samplingEffort","samplingProtocol","identificationReferences","remarks","duplicateNightQF","missingRecordsPerBoutQF"
"553E96FFFFBE44EBA6B2DB2A52F3FE93","D05","UNDE","UNDE_002","2014-07-26",1,"MAM.UNDE.2014.08",100,2,98,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"AA827312C11D4C7EB753115C8E33B2A2","D05","UNDE","UNDE_032","2014-07-26",1,"MAM.UNDE.2014.08",100,43,57,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"7439C60B62D240D9A0DA3C19E84D1872","D05","UNDE","UNDE_003","2014-07-26",1,"MAM.UNDE.2014.08",100,0,100,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"4E2ED0A58D244EB5921DE76A7A89FE48","D05","UNDE","UNDE_001","2014-07-26",1,"MAM.UNDE.2014.08",97,4,93,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"1104B9415FEA43668787FDE51B36D681","D05","UNDE","UNDE_002","2014-07-27",2,"MAM.UNDE.2014.08",100,18,82,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"C3E9884C313E45448BC778338C4048E7","D05","UNDE","UNDE_001","2014-07-27",2,"MAM.UNDE.2014.08",100,3,97,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"96D9059013514150BB59A84455BC49BE","D05","UNDE","UNDE_003","2014-07-27",2,"MAM.UNDE.2014.08",100,8,92,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"DE3FD16E1BD948139FC3B5226F35ACB2","D05","UNDE","UNDE_032","2014-07-27",2,"MAM.UNDE.2014.08",0,0,0,"NEON.DOC.000481","NEON.DOC.001909","Traps not set due to predator disturbance in plot 7/26",0,0
"80C2BF5C621C4B5A8CC788F717AD75B7","D05","UNDE","UNDE_002","2014-07-28",3,"MAM.UNDE.2014.08",100,13,87,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"E912CFF41F0949189AC9D5061A7DDF1B","D05","UNDE","UNDE_001","2014-07-28",3,"MAM.UNDE.2014.08",100,20,80,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"8C6149C645794E58A78E0EAF9AD0338C","D05","UNDE","UNDE_032","2014-07-28",3,"MAM.UNDE.2014.08",0,0,0,"NEON.DOC.000481","NEON.DOC.001909","Traps not set due to predator disturbance on plot 7/26",0,0
"53D7C48E4A964CE0BBE05D211D4F5176","D05","UNDE","UNDE_003","2014-07-28",3,"MAM.UNDE.2014.08",100,45,55,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"0EC34DA60FB942A686C7FD4C50F14B77","D05","UNDE","UNDE_027","2014-07-29",1,"MAM.UNDE.2014.08",91,25,66,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"5786BEB77559400D9743008CA1210118","D05","UNDE","UNDE_008","2014-07-29",1,"MAM.UNDE.2014.08",99,10,89,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"7B218ADCD55D4752ABCEC33AA24ABE4F","D05","UNDE","UNDE_012","2014-07-29",1,"MAM.UNDE.2014.08",100,7,93,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"85EC57973C4049688CC37AED11E05D81","D05","UNDE","UNDE_020","2014-07-29",1,"MAM.UNDE.2014.08",100,10,90,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"69A6291DF98B4A1BBF6B5054057385BF","D05","UNDE","UNDE_012","2014-07-30",2,"MAM.UNDE.2014.08",99,14,85,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"4E957A49348C4850A1EFF2143F873F2E","D05","UNDE","UNDE_020","2014-07-30",2,"MAM.UNDE.2014.08",100,30,70,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"344B3CB8CF3F452D948A246E709F25B1","D05","UNDE","UNDE_008","2014-07-30",2,"MAM.UNDE.2014.08",100,17,83,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"9AF9E6E5CE284A8FB4059069E1BACB3B","D05","UNDE","UNDE_027","2014-07-30",2,"MAM.UNDE.2014.08",100,2,98,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"05F04CC599224388B84491DF6A1FB692","D05","UNDE","UNDE_027","2014-07-31",3,"MAM.UNDE.2014.08",100,20,80,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"43B47D18770D45D7A5E11C627FE4CB27","D05","UNDE","UNDE_012","2014-07-31",3,"MAM.UNDE.2014.08",100,13,87,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"D338F5037E6441B3AB17111026F96368","D05","UNDE","UNDE_008","2014-07-31",3,"MAM.UNDE.2014.08",100,23,77,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"316C9DDDCE0A4D99947CE23F5EC09DBB","D05","UNDE","UNDE_020","2014-07-31",3,"MAM.UNDE.2014.08",100,55,45,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"0720309095E94D90BF8068FF679DB226","D05","UNDE","UNDE_012","2014-08-21",1,"MAM.UNDE.2014.09",100,13,87,"NEON.DOC.000481","Reid, F. 2006. ","Species ID of NAIN captures suspect, some may be ZAHU. ",0,0
"0B64C9C0DEEB4849A419CAE636C4ABA4","D05","UNDE","UNDE_008","2014-08-21",1,"MAM.UNDE.2014.09",100,15,85,"NEON.DOC.000481","NEON.DOC.001909","Species ID of NAINs may be suspect, some may be ZAHU.",0,0
"13A31B038A9148A8903BD92D8F13D031","D05","UNDE","UNDE_032","2014-08-21",1,"MAM.UNDE.2014.09",100,10,90,"NEON.DOC.000481","Reid, F. 2006. ","Species ID of NAIN  suspect, some may or may not be ZAHU ",0,0
"EC46F202CFA440F9980C92D16E1E4B6B","D05","UNDE","UNDE_001","2014-08-21",1,"MAM.UNDE.2014.09",100,17,83,"NEON.DOC.000481","Reid, F. 2006. ","Species ID of NAINs suspect, some may be ZAHU",0,0
"3868053C56D244329BE23B3A77E2D020","D05","UNDE","UNDE_001","2014-08-22",2,"MAM.UNDE.2014.09",100,22,78,"NEON.DOC.000481","NEON.DOC.001909","Species ID of NAINs suspect, some may be ZAHU",0,0
"FA888F505C0D42DFB4A3846C77BB0B87","D05","UNDE","UNDE_012","2014-08-22",2,"MAM.UNDE.2014.09",100,19,81,"NEON.DOC.000481","Reid, F. 2006. ","Species ID of NAIN may be suspect, some may have been ZAHU. ",0,0
"231464F7138847398A23DCE994F01BBA","D05","UNDE","UNDE_008","2014-08-22",2,"MAM.UNDE.2014.09",100,19,81,"NEON.DOC.000481","NEON.DOC.001909","NAIN species ID suspect, may or may not have been a ZAHU",0,0
"76861FF5996042D2817EB5752CE9264B","D05","UNDE","UNDE_032","2014-08-22",2,"MAM.UNDE.2014.09",100,9,91,"NEON.DOC.000481","Reid, F. 2006. ","Species ID of NAIN suspect, some may be ZAHU",0,0
"BA436753B8734C06B1D6E5D9A92B137A","D05","UNDE","UNDE_001","2014-08-23",3,"MAM.UNDE.2014.09",100,35,65,"NEON.DOC.000481","NEON.DOC.001909","Species ID of NAINs suspect, some may be ZAHU",0,0
"5E05BDF15D5C45CDAF52093076F33E91","D05","UNDE","UNDE_032","2014-08-23",3,"MAM.UNDE.2014.09",100,10,90,"NEON.DOC.000481","Reid, F. 2006. ","Species ID of NAIN may be suspect, some may actually be ZAHU",0,0
"6FB2A3CDB2BE41BD93A2B9647B0DA440","D05","UNDE","UNDE_008","2014-08-23",3,"MAM.UNDE.2014.09",0,0,0,"NEON.DOC.000481","NEON.DOC.001909","Traps not set on 8-23 due to high trap deaths on previous two days of the bout.",0,0
"BEFAC323CD3F40D99557D44A8E569C68","D05","UNDE","UNDE_012","2014-08-23",3,"MAM.UNDE.2014.09",100,11,89,"NEON.DOC.000481","Reid, F. 2006. ","Species ID of NAIN suspect, some may or may not be ZAHU. ",0,0
"C70D953FC5F64225BAFD097D8486E727","D05","UNDE","UNDE_003","2014-08-24",1,"MAM.UNDE.2014.09",100,13,87,"NEON.DOC.000481","NEON.DOC.001909","Data missing from previous UNDE_003 8-24 submission;Species ID of NAINs may be suspect, some may be ZAHUs",1,0
"EF31666EBEE84814A83981ED82EC589F","D05","UNDE","UNDE_002","2014-08-24",1,"MAM.UNDE.2014.09",0,0,0,"NEON.DOC.000481","Reid, F. 2006. ","Due to logistic issues (unable to locate plot with GPS) no traps were set on this grid.",0,0
"F32F60D5D7DC412B8F56677C462EC550","D05","UNDE","UNDE_027","2014-08-24",1,"MAM.UNDE.2014.09",97,14,83,"NEON.DOC.000481","NEON.DOC.001909","Species ID of NAINs suspect, may be ZAHUs",0,0
"9008DF18A53B486694D653BB1D7B9F90","D05","UNDE","UNDE_020","2014-08-24",1,"MAM.UNDE.2014.09",100,11,89,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"C71A55BA7FAC4B35A3058F7DF2765708","D05","UNDE","UNDE_002","2014-08-25",2,"MAM.UNDE.2014.09",0,0,0,"NEON.DOC.000481","Reid, F. 2006. ","Not enough clean traps to set grid, no traps were set on this grid for this night of trapping. ",0,0
"3668D2E21F884ACB914B8810F46A24BF","D05","UNDE","UNDE_027","2014-08-25",2,"MAM.UNDE.2014.09",100,27,73,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"A2BA799023654B4492CA83E18F0EC39D","D05","UNDE","UNDE_020","2014-08-25",2,"MAM.UNDE.2014.09",100,13,87,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"A4CFED9A2BA640E280097A5FF8465C93","D05","UNDE","UNDE_003","2014-08-25",2,"MAM.UNDE.2014.09",100,15,85,"NEON.DOC.000481","NEON.DOC.001909","Species ID of NAINs suspect, may be ZAHU",0,0
"4E61B631750B4A138432094D9634ECF9","D05","UNDE","UNDE_003","2014-08-26",3,"MAM.UNDE.2014.09",0,0,0,"NEON.DOC.000481","NEON.DOC.001909","No traps were set on 8-26 due to 5 trap deaths over the previous 2 days.",0,0
"30A64BE7AD9147A082EEB1D49C2B7F7A","D05","UNDE","UNDE_027","2014-08-26",3,"MAM.UNDE.2014.09",66,29,37,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"B488F736E15F42F190F8F61DEBAFADA4","D05","UNDE","UNDE_020","2014-08-26",3,"MAM.UNDE.2014.09",100,24,76,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"C489BC69820A4BB283285BDAD37A6A03","D05","UNDE","UNDE_002","2014-08-26",3,"MAM.UNDE.2014.09",100,12,88,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"968D256839D14FDBADF7614E0449A5D3","D05","UNDE","UNDE_003","2014-09-15",1,"MAM.UNDE.2014.10",98,29,69,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"B616E8DD19134E54B38B2EEA6F8A6CFF","D05","UNDE","UNDE_027","2014-09-15",1,"MAM.UNDE.2014.10",100,44,56,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"C583491F5E00435491E3594ACFB7C91F","D05","UNDE","UNDE_001","2014-09-15",1,"MAM.UNDE.2014.10",100,28,72,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"93C7C37350274097BD2D42FB5CD1FF7D","D05","UNDE","UNDE_002","2014-09-15",1,"MAM.UNDE.2014.10",100,11,89,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"063B50EDC3B944E38D4D9F399E218525","D05","UNDE","UNDE_002","2014-09-16",2,"MAM.UNDE.2014.10",100,17,83,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"23187995FF9B4B5F93D812F27BB4BBC4","D05","UNDE","UNDE_003","2014-09-16",2,"MAM.UNDE.2014.10",99,31,68,"NEON.DOC.000481","NEON.DOC.001909",,0,0
"DF9D253E7DD04D0A8E36725C5E6624DB","D05","UNDE","UNDE_001","2014-09-16",2,"MAM.UNDE.2014.10",100,32,68,"NEON.DOC.000481","NEON.DOC.001909",,0,0
