"uid","domainID","siteID","plotID","date","night","eventID","setTraps","disturbedTraps","samplingEffort","samplingProtocol","identificationReferences","remarks","duplicateNightQF","missingRecordsPerBoutQF"
"3B5106EFFD5B45B2A23B8565CA97D91B","D07","ORNL","ORNL_027","2014-05-28",1,"MAM.ORNL.2014.06",100,4,96,"NEON.DOC.000481","Peterson Field ",,0,0
"1BF8F495E1B74F63A2A980802E95F149","D07","ORNL","ORNL_039","2014-05-28",1,"MAM.ORNL.2014.06",99,0,99,"NEON.DOC.000481","Peterson Field ",,0,0
"536A1B6737374168BFC2A6A184CDD72E","D07","ORNL","ORNL_002","2014-05-28",1,"MAM.ORNL.2014.06",100,9,91,"NEON.DOC.000481","Peterson Field ","ants found in many of the traps.",0,0
"C0AC38E3DBD14FFB94E4F87B8A182377","D07","ORNL","ORNL_004","2014-05-28",1,"MAM.ORNL.2014.06",100,1,99,"NEON.DOC.000481","Peterson Field ",,0,1
"334EDA677BA84C03B37B14FC54433BD6","D07","ORNL","ORNL_039","2014-05-29",2,"MAM.ORNL.2014.06",100,12,88,"NEON.DOC.000481","Peterson Field ",,0,0
"50AFF909DB264D8C92CA88F8EDD444AD","D07","ORNL","ORNL_002","2014-05-29",2,"MAM.ORNL.2014.06",100,2,98,"NEON.DOC.000481","Peterson Field ",,0,0
"2113AE9B86384AB1806AC292EAB259FD","D07","ORNL","ORNL_027","2014-05-29",2,"MAM.ORNL.2014.06",100,0,100,"NEON.DOC.000481","Peterson Field ",,0,0
"98926F3320D24B1E8EF66AFC749E2D61","D07","ORNL","ORNL_027","2014-05-30",3,"MAM.ORNL.2014.06",100,0,100,"NEON.DOC.000481","Peterson Field ",,0,0
"5DE93F9C80C64BE3AECB46AE307CF947","D07","ORNL","ORNL_039","2014-05-30",3,"MAM.ORNL.2014.06",100,2,98,"NEON.DOC.000481","Peterson Field ",,0,0
"97F7402CF18C48A688DE988AFD17DC40","D07","ORNL","ORNL_002","2014-05-30",3,"MAM.ORNL.2014.06",100,0,100,"NEON.DOC.000481","Peterson Field ",,0,0
"6AB5C76DC2C54603B7DF8D44118E9B4B","D07","ORNL","ORNL_001","2014-05-31",1,"MAM.ORNL.2014.06",100,0,100,"NEON.DOC.000481","Peterson Field ",,0,0
"8D0C22048DDC44E481908ACA5D9771D9","D07","ORNL","ORNL_003","2014-05-31",1,"MAM.ORNL.2014.06",100,0,100,"NEON.DOC.000481","Peterson Field ",,0,0
"FA8F9EA2F5C84547BBF92EF24FB1B918","D07","ORNL","ORNL_001","2014-06-01",2,"MAM.ORNL.2014.06",100,0,100,"NEON.DOC.000481","Peterson Field ",,0,0
"3350672D62C947DF81309AFFD51A6DFA","D07","ORNL","ORNL_007","2014-06-01",1,"MAM.ORNL.2014.06",100,0,100,"NEON.DOC.000481","Peterson Field ",,0,1
"3D70298A33CA45F5840595FEC8D17F99","D07","ORNL","ORNL_003","2014-06-01",2,"MAM.ORNL.2014.06",100,4,96,"NEON.DOC.000481","Peterson Field ",,0,0
"32F3BA3A8D6743AA83509EB92D7CC7F8","D07","ORNL","ORNL_007","2014-06-02",2,"MAM.ORNL.2014.06",100,25,75,"NEON.DOC.000481","Peterson Field ",,0,1
"BAB65DDC946F4141920C6CF37CBA72F9","D07","ORNL","ORNL_006","2014-06-02",1,"MAM.ORNL.2014.06",100,0,100,"NEON.DOC.000481","Peterson Field ","no captures",0,1
"D8B0130D2D574140926760EC5510682F","D07","ORNL","ORNL_003","2014-06-02",3,"MAM.ORNL.2014.06",100,8,92,"NEON.DOC.000481","Peterson Field ",,0,0
"B98FF52240C74A60A0FACBBE479C0A0F","D07","ORNL","ORNL_001","2014-06-02",3,"MAM.ORNL.2014.06",100,0,100,"NEON.DOC.000481","Peterson Field ","no captures ",0,0
"02ACD3999D2C48938579CD7589D0D6F8","D07","ORNL","ORNL_002","2014-06-24",1,"MAM.ORNL.2014.07",100,1,99,"NEON.DOC.000481","Peterson Field ",,0,0
"53C69AE76C0C42C0B540A46BED8EC566","D07","ORNL","ORNL_003","2014-06-24",1,"MAM.ORNL.2014.07",100,3,97,"NEON.DOC.000481","Peterson Field ",,0,0
"9D7014F787AD4E6E9A75A7CF6ACCC19B","D07","ORNL","ORNL_027","2014-06-24",1,"MAM.ORNL.2014.07",100,2,98,"NEON.DOC.000481","Peterson Field ",,0,0
"D20DC1C808CA4872883E14F3E90E5E04","D07","ORNL","ORNL_027","2014-06-25",2,"MAM.ORNL.2014.07",100,0,100,"NEON.DOC.000481","Peterson Field ",,0,0
"00E74E718BC9445BA99185D26E197869","D07","ORNL","ORNL_003","2014-06-25",2,"MAM.ORNL.2014.07",100,0,100,"NEON.DOC.000481","Peterson Field ",,0,0
"A2A766DDC62E46AD8DCF9DD8400B8214","D07","ORNL","ORNL_002","2014-06-25",2,"MAM.ORNL.2014.07",100,0,100,"NEON.DOC.000481","Peterson Field ",,0,0
"F3CEE8F7621649DF97E4568E0BDC1543","D07","ORNL","ORNL_002","2014-06-26",3,"MAM.ORNL.2014.07",100,0,100,"NEON.DOC.000481","Peterson Field ",,0,0
"F024A92072B645D4B0A772E6680FEA59","D07","ORNL","ORNL_003","2014-06-26",3,"MAM.ORNL.2014.07",100,0,100,"NEON.DOC.000481","Peterson Field ","no captures",0,0
"59E9138CC5A1404E97F7507A87717ADB","D07","ORNL","ORNL_027","2014-06-26",3,"MAM.ORNL.2014.07",100,0,100,"NEON.DOC.000481","Peterson Field ","no captures",0,0
"2FCEED6EFE354B9E991EA7A124307BDA","D07","ORNL","ORNL_002","2014-07-22",1,"MAM.ORNL.2014.08",100,3,97,"NEON.DOC.000481","Peterson Field ",,0,0
"5834AACA2836469FB162D700A02DACFA","D07","ORNL","ORNL_003","2014-07-22",1,"MAM.ORNL.2014.08",98,4,94,"NEON.DOC.000481","Peterson Field ",,0,0
"EC17CD5C9E4643A9A519148E7CD32FBA","D07","ORNL","ORNL_027","2014-07-22",1,"MAM.ORNL.2014.08",99,0,99,"NEON.DOC.000481","Peterson Field ","no captures",0,0
"E46F681C6D0840F0A77A32CFFEE76FE3","D07","ORNL","ORNL_039","2014-07-22",1,"MAM.ORNL.2014.08",100,0,100,"NEON.DOC.000481","Peterson Field ",,0,0
"504ECADE3DE344DDBCA688D07F7B4B19","D07","ORNL","ORNL_001","2014-07-22",1,"MAM.ORNL.2014.08",100,2,98,"NEON.DOC.000481","Peterson Field ",,0,0
"CB2B41E0FB29481FBDE2DB77E6380DA8","D07","ORNL","ORNL_007","2014-07-22",1,"MAM.ORNL.2014.08",98,2,96,"NEON.DOC.000481","Peterson Field ","no captures",0,0
"9EE2C3528B1C46149008E8EA96DD1FC1","D07","ORNL","ORNL_039","2014-07-23",2,"MAM.ORNL.2014.08",100,1,99,"NEON.DOC.000481","Peterson Field ",,0,0
"63F456910F5647C291569F20E8C166CF","D07","ORNL","ORNL_007","2014-07-23",2,"MAM.ORNL.2014.08",100,0,100,"NEON.DOC.000481","Peterson Field ","no captures",0,0
"105D9789569D4E42AAF01B23680A568E","D07","ORNL","ORNL_003","2014-07-23",2,"MAM.ORNL.2014.08",100,1,99,"NEON.DOC.000481","Peterson Field ",,0,0
"58B427B0FFA244A0879D76A23D2E85B8","D07","ORNL","ORNL_001","2014-07-23",2,"MAM.ORNL.2014.08",100,0,100,"NEON.DOC.000481","Peterson Field ",,0,0
"2719429E226D48BFB4457DB43AA3A86D","D07","ORNL","ORNL_027","2014-07-23",2,"MAM.ORNL.2014.08",100,2,98,"NEON.DOC.000481","Peterson Field ","no captures",0,0
"B02614780F324F5F897DDC41859613E1","D07","ORNL","ORNL_002","2014-07-23",2,"MAM.ORNL.2014.08",100,1,99,"NEON.DOC.000481","Peterson Field ",,0,0
"21098F1409804F7FB0E48A156B7BF73C","D07","ORNL","ORNL_003","2014-07-25",3,"MAM.ORNL.2014.08",100,1,99,"NEON.DOC.000481","Peterson Field ",,0,0
