"uid","domainID","siteID","plotID","date","night","eventID","setTraps","disturbedTraps","samplingEffort","samplingProtocol","identificationReferences","remarks","duplicateNightQF","missingRecordsPerBoutQF"
"3EE2F75F91334AAC86E04D459DF9C389","D09","WOOD","WOOD_011","2014-05-28",1,"MAM.WOOD.2014.06",99,0,99,"NEON.DOC.000481","NEON.DOC.001912",,0,0
"806AFD312874422E82B8C9BCC87C8BEC","D09","WOOD","WOOD_015","2014-05-28",1,"MAM.WOOD.2014.06",100,6,94,"NEON.DOC.000481","NEON.DOC.001912",,0,0
"44BD2FB4C85445A28E3E8E20BA896BBD","D09","WOOD","WOOD_009","2014-05-28",1,"MAM.WOOD.2014.06",100,0,100,"NEON.DOC.000481","NEON.DOC.001912",,0,0
"DF5C47C5AFEE4C0B8EF0A80EADB83F34","D09","WOOD","WOOD_001","2014-05-28",1,"MAM.WOOD.2014.06",95,0,95,"NEON.DOC.000481","NEON.DOC.001912",,0,0
"F64E8DE4A5BA43B0B26AB01E899F5FA3","D09","WOOD","WOOD_001","2014-05-29",2,"MAM.WOOD.2014.06",100,0,100,"NEON.DOC.000481","NEON.DOC.001912",,0,0
"D9D414602043435BB0D12C3542BBFE4B","D09","WOOD","WOOD_009","2014-05-29",2,"MAM.WOOD.2014.06",100,2,98,"NEON.DOC.000481","NEON.DOC.001912",,0,0
"613218EAF32A42DFA475BBDEEA31D7A6","D09","WOOD","WOOD_015","2014-05-29",2,"MAM.WOOD.2014.06",100,28,72,"NEON.DOC.000481","NEON.DOC.001912",,0,0
"9BFCF531D89841BCBD924D42A8DE5DBC","D09","WOOD","WOOD_011","2014-05-29",2,"MAM.WOOD.2014.06",99,0,99,"NEON.DOC.000481","NEON.DOC.001912",,0,0
"AEFFDE8824E249388930FFA35DEC8062","D09","WOOD","WOOD_011","2014-05-30",3,"MAM.WOOD.2014.06",100,2,98,"NEON.DOC.000481","Seabloom, R. 20",,0,0
"97599CF0EACE4E1BA2BD4B1645B36A90","D09","WOOD","WOOD_001","2014-05-30",3,"MAM.WOOD.2014.06",100,0,100,"NEON.DOC.000481","Seabloom, R. 20",,0,0
"795181FB844A405BB90E10C1A98F5956","D09","WOOD","WOOD_015","2014-05-30",3,"MAM.WOOD.2014.06",100,74,26,"NEON.DOC.000481","NEON.DOC.001912",,0,0
"F063810782124EFBB56456C4B26FB228","D09","WOOD","WOOD_009","2014-05-30",3,"MAM.WOOD.2014.06",100,2,98,"NEON.DOC.000481","NEON.DOC.001912",,0,0
"367936EC762C4354BC38FA3DFE7D884D","D09","WOOD","WOOD_013","2014-05-31",1,"MAM.WOOD.2014.06",100,5,95,"NEON.DOC.000481","Seabloom, R. 20",,0,0
"F5917F7568B24F38AFEAC5B139004C8C","D09","WOOD","WOOD_008","2014-05-31",1,"MAM.WOOD.2014.06",100,0,100,"NEON.DOC.000481","Seabloom, R. 20",,0,0
"63E43A526C194C72ABFFD5A599D03665","D09","WOOD","WOOD_006","2014-05-31",1,"MAM.WOOD.2014.06",97,4,93,"NEON.DOC.000481","Seabloom, R. 20",,0,0
