"uid","domainID","siteID","plotID","date","night","eventID","setTraps","disturbedTraps","samplingEffort","samplingProtocol","identificationReferences","remarks","duplicateNightQF","missingRecordsPerBoutQF"
"122EF222CDFE41D9A0925E1D9E9E1E28","D15","ONAQ","ONAQ_014","2014-05-28",1,"MAM.ONAQ.2014.06",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"5D0E1489C7C74652B49B741A3FDAF963","D15","ONAQ","ONAQ_021","2014-05-28",1,"MAM.ONAQ.2014.06",99,1,98,"NEON.DOC.000481","Reid, F. 2006. ",,0,1
"8EBB088853674914AB2F94F54F429C9F","D15","ONAQ","ONAQ_008","2014-05-28",1,"MAM.ONAQ.2014.06",2,0,2,"NEON.DOC.000481","Reid, F. 2006. ",,0,1
"1CFA6B9F42BD428E8A0DAFBE96D64607","D15","ONAQ","ONAQ_003","2014-05-28",1,"MAM.ONAQ.2014.06",100,1,99,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"679E3385F5DB462C905CFF3D8F7B4070","D15","ONAQ","ONAQ_014","2014-05-29",2,"MAM.ONAQ.2014.06",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"49B65631D0E7415691BFA2CCB500B399","D15","ONAQ","ONAQ_003","2014-05-29",2,"MAM.ONAQ.2014.06",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"AA8EBF8EABAF465DB8FF354D26E56FC9","D15","ONAQ","ONAQ_008","2014-05-29",2,"MAM.ONAQ.2014.06",100,1,99,"NEON.DOC.000481","Reid, F. 2006. ",,0,1
"25971D5FC7874DA09AD31ED39E696C3E","D15","ONAQ","ONAQ_021","2014-05-29",2,"MAM.ONAQ.2014.06",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,1
"8C71987FD729446284B84102A07B7CA6","D15","ONAQ","ONAQ_003","2014-05-30",3,"MAM.ONAQ.2014.06",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"1CA60A733F264C808E95EF89AB5AAAD3","D15","ONAQ","ONAQ_014","2014-05-30",3,"MAM.ONAQ.2014.06",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"67E92B242350479D9D08DEC61CB9FB79","D15","ONAQ","ONAQ_004","2014-05-31",1,"MAM.ONAQ.2014.06",94,0,94,"NEON.DOC.000481"," Reid, F. 2006.",,0,0
"EADBA6592F1E4788A92EB556D06D6AA9","D15","ONAQ","ONAQ_017","2014-05-31",1,"MAM.ONAQ.2014.06",100,0,100,"NEON.DOC.000481"," Reid, F. 2006.",,0,1
"0ACE423C0DEC4E65BD471CADD89FDFDD","D15","ONAQ","ONAQ_005","2014-05-31",1,"MAM.ONAQ.2014.06",9,0,9,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"58CED1D9BDD74A048ABF16A676146189","D15","ONAQ","ONAQ_015","2014-06-01",1,"MAM.ONAQ.2014.06",100,0,100,"NEON.DOC.000481","Peterson Field ",,0,1
"98433205564741228129CF376F005ED9","D15","ONAQ","ONAQ_005","2014-06-01",2,"MAM.ONAQ.2014.06",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
