"uid","domainID","siteID","plotID","trapCoordinate","date","eventID","trapStatus","duplicateTrapCoordinateQF"
"7A095ED0C74D44DD96EFE65989E654F5","D15","ONAQ","ONAQ_021","E8","2014-05-28","MAM.ONAQ.2014.06",6,0
"DC183D03F9674B23B5F0216C4A2F8C5C","D15","ONAQ","ONAQ_021","E3","2014-05-28","MAM.ONAQ.2014.06",6,0
"55C5C21D14D240158A838B1454988E5F","D15","ONAQ","ONAQ_021","E9","2014-05-28","MAM.ONAQ.2014.06",6,0
"5854F5F909234F2BACF2D9EA02507F8E","D15","ONAQ","ONAQ_021","E1","2014-05-28","MAM.ONAQ.2014.06",6,0
"6711B8F4A7DD4CFEA21A1E8BAC15B145","D15","ONAQ","ONAQ_021","E4","2014-05-28","MAM.ONAQ.2014.06",6,0
"7B473731DAC7456B990F42F136837C51","D15","ONAQ","ONAQ_021","E6","2014-05-28","MAM.ONAQ.2014.06",6,0
"3A46562B6F654397919DB6AC28195E10","D15","ONAQ","ONAQ_021","E5","2014-05-28","MAM.ONAQ.2014.06",6,0
"71242CA0B3A043D28379FFAF2AA00257","D15","ONAQ","ONAQ_021","E2","2014-05-28","MAM.ONAQ.2014.06",6,0
"AE1117C9DD6B418DA532E2A01028EA24","D15","ONAQ","ONAQ_021","F5","2014-05-28","MAM.ONAQ.2014.06",6,0
"371E9DA672504F70A78B8E4A1F65575B","D15","ONAQ","ONAQ_021","F4","2014-05-28","MAM.ONAQ.2014.06",6,0
"0C14EFBE341949768DCA8DD2FC42C824","D15","ONAQ","ONAQ_021","C6","2014-05-28","MAM.ONAQ.2014.06",6,0
"97834C23B1E24A3FAF8E66964BA51946","D15","ONAQ","ONAQ_021","F6","2014-05-28","MAM.ONAQ.2014.06",6,0
"49F421C37E354892AC3767CAF25A9DC8","D15","ONAQ","ONAQ_021","F2","2014-05-28","MAM.ONAQ.2014.06",6,0
"1A8155B8B3E74DA2A17846259C43679B","D15","ONAQ","ONAQ_021","F7","2014-05-28","MAM.ONAQ.2014.06",1,0
"B67FB50671CC4105A5352C352C90022A","D15","ONAQ","ONAQ_021","C5","2014-05-28","MAM.ONAQ.2014.06",6,0
"393AB8C28A504DF19FE84E6BD58A3A43","D15","ONAQ","ONAQ_021","C8","2014-05-28","MAM.ONAQ.2014.06",6,0
"8B9610817D5E456381B329A2EB88DDA9","D15","ONAQ","ONAQ_021","C7","2014-05-28","MAM.ONAQ.2014.06",6,0
"03246005321C4E979E3CF1D17ED9A457","D15","ONAQ","ONAQ_021","C1","2014-05-28","MAM.ONAQ.2014.06",6,0
"0B3BE3B0E8914E4A8F6E67D3BFA3FE68","D15","ONAQ","ONAQ_021","D8","2014-05-28","MAM.ONAQ.2014.06",6,0
"188AE0A0BBE04176B39D06BCFA4E09BF","D15","ONAQ","ONAQ_021","D7","2014-05-28","MAM.ONAQ.2014.06",6,0
"FFE566B647CE4ECBA2669EDB7E8723F1","D15","ONAQ","ONAQ_021","D1","2014-05-28","MAM.ONAQ.2014.06",6,0
"E6210E2B36474537895EE1037DACAEBD","D15","ONAQ","ONAQ_021","D9","2014-05-28","MAM.ONAQ.2014.06",6,0
"5A2D5978F686485BA5BA914FE889AD1E","D15","ONAQ","ONAQ_021","C3","2014-05-28","MAM.ONAQ.2014.06",6,0
"F680FB2CBAC745CD8372C22DC79C09ED","D15","ONAQ","ONAQ_021","D3","2014-05-28","MAM.ONAQ.2014.06",5,0
"512B42CFBF8F46A58F5B008701C79D6F","D15","ONAQ","ONAQ_021","A7","2014-05-28","MAM.ONAQ.2014.06",6,0
"84CBF19C27C54C78B52BCF846A91D7C8","D15","ONAQ","ONAQ_021","A8","2014-05-28","MAM.ONAQ.2014.06",6,0
"E647E190D8B348808F371CCEAAB172C2","D15","ONAQ","ONAQ_021","A3","2014-05-28","MAM.ONAQ.2014.06",6,0
"E21920DB32634F43B9D9E75F6DE3583A","D15","ONAQ","ONAQ_021","A6","2014-05-28","MAM.ONAQ.2014.06",6,0
"41D99310E0604BF7A7BD06F79357B0C5","D15","ONAQ","ONAQ_021","A4","2014-05-28","MAM.ONAQ.2014.06",5,0
"873BFECC989A47729840BE11611D5288","D15","ONAQ","ONAQ_014","I10","2014-05-28","MAM.ONAQ.2014.06",5,0
"A31A211F28CD43E4BF36D36C4825520C","D15","ONAQ","ONAQ_021","A9","2014-05-28","MAM.ONAQ.2014.06",6,0
"8871EA2B8C9742CF9C0A337D69558256","D15","ONAQ","ONAQ_021","B9","2014-05-28","MAM.ONAQ.2014.06",6,0
"4A77322D35D64FDD93DD2A33B390EA77","D15","ONAQ","ONAQ_021","B8","2014-05-28","MAM.ONAQ.2014.06",6,0
"E12D1EF93C4D48579ACB3BB6386DE6DA","D15","ONAQ","ONAQ_021","A2","2014-05-28","MAM.ONAQ.2014.06",6,0
"7FB498591041412A8675559BF21A87E1","D15","ONAQ","ONAQ_021","B6","2014-05-28","MAM.ONAQ.2014.06",6,0
"41D43718D7D94474A969CC19FDDFB937","D15","ONAQ","ONAQ_021","B3","2014-05-28","MAM.ONAQ.2014.06",6,0
"E95C060F81C44E84A1AC8BDA9BDBC77C","D15","ONAQ","ONAQ_021","B4","2014-05-28","MAM.ONAQ.2014.06",6,0
"83604A5A66EF4BBA87E8C80A372E3838","D15","ONAQ","ONAQ_021","B5","2014-05-28","MAM.ONAQ.2014.06",6,0
"4F6EB40EB5B240D98181B87F92676E60","D15","ONAQ","ONAQ_021","B2","2014-05-28","MAM.ONAQ.2014.06",6,0
"75FDF1A645FF4EBD84C3E4E76D3D7779","D15","ONAQ","ONAQ_021","G10","2014-05-28","MAM.ONAQ.2014.06",6,0
"426A6F223B0F4A638922BF439537F12E","D15","ONAQ","ONAQ_008","A8","2014-05-28","MAM.ONAQ.2014.06",5,0
"558F26B620E84EBD879DBBE771CE7666","D15","ONAQ","ONAQ_021","B1","2014-05-28","MAM.ONAQ.2014.06",6,0
"31763084959047EF8E4B159BC98A6252","D15","ONAQ","ONAQ_003","H10","2014-05-28","MAM.ONAQ.2014.06",6,0
"0E0A291AB6494FEFA9B176C9DEC16DBF","D15","ONAQ","ONAQ_003","D10","2014-05-28","MAM.ONAQ.2014.06",6,0
"123122BBD66A4AEBB08FA2BDA8F8C019","D15","ONAQ","ONAQ_003","A10","2014-05-28","MAM.ONAQ.2014.06",6,0
"CDB99A3B428441BCA3B18D853BC9BB28","D15","ONAQ","ONAQ_014","E10","2014-05-28","MAM.ONAQ.2014.06",6,0
"9B44C416A7DE4675BD0A50F7F5F0B82E","D15","ONAQ","ONAQ_021","J1","2014-05-28","MAM.ONAQ.2014.06",6,0
"9B29608F1F104467978394ACC4A48F0C","D15","ONAQ","ONAQ_021","J5","2014-05-28","MAM.ONAQ.2014.06",2,0
"94871D22138D42679384B073C6C50369","D15","ONAQ","ONAQ_021","J9","2014-05-28","MAM.ONAQ.2014.06",6,0
"4BAA11D6B2644959B81E75BAD1EC834B","D15","ONAQ","ONAQ_021","A10","2014-05-28","MAM.ONAQ.2014.06",6,0
"A83AD53466C84584B013D35BECFCF7BF","D15","ONAQ","ONAQ_021","J4","2014-05-28","MAM.ONAQ.2014.06",6,0
"B10E10B1FB494BC494BEC3D7B859F29F","D15","ONAQ","ONAQ_021","J7","2014-05-28","MAM.ONAQ.2014.06",6,0
"8735C1D3E7E34014BD2DC091B7025103","D15","ONAQ","ONAQ_021","I5","2014-05-28","MAM.ONAQ.2014.06",6,0
"EC693541B10D4082AA6C811FC632240F","D15","ONAQ","ONAQ_021","J2","2014-05-28","MAM.ONAQ.2014.06",6,0
"AB08CDDB32D14589BC1D11C1F3CD0587","D15","ONAQ","ONAQ_021","J8","2014-05-28","MAM.ONAQ.2014.06",6,0
"5BF1B683E9FB4DF2932A35F238212753","D15","ONAQ","ONAQ_021","I4","2014-05-28","MAM.ONAQ.2014.06",6,0
"B6ABE0F11C9F4AD8937A5989BA78D28D","D15","ONAQ","ONAQ_021","I6","2014-05-28","MAM.ONAQ.2014.06",6,0
"E3E7E87D60884C0EACBD1ACA307ECBA8","D15","ONAQ","ONAQ_021","J3","2014-05-28","MAM.ONAQ.2014.06",6,0
"48D1122E062344D5B4A50245EBD9E0CE","D15","ONAQ","ONAQ_021","I3","2014-05-28","MAM.ONAQ.2014.06",6,0
"C7034F9880174F6B905866C1BF2F7F4D","D15","ONAQ","ONAQ_021","I8","2014-05-28","MAM.ONAQ.2014.06",6,0
"AD3F9913652A4A8F9A581D04952E3258","D15","ONAQ","ONAQ_021","I7","2014-05-28","MAM.ONAQ.2014.06",6,0
"C0D381622C004886A1A3E737E0EA71A8","D15","ONAQ","ONAQ_021","I2","2014-05-28","MAM.ONAQ.2014.06",6,0
"BBA89674E4C245969FA5BF8A5CD5D5F0","D15","ONAQ","ONAQ_021","H7","2014-05-28","MAM.ONAQ.2014.06",6,0
"BA1154499D9A42A9B37ECFC296D7FF57","D15","ONAQ","ONAQ_021","H6","2014-05-28","MAM.ONAQ.2014.06",6,0
"297A20C8E623448B99957D385CCBF898","D15","ONAQ","ONAQ_021","H8","2014-05-28","MAM.ONAQ.2014.06",6,0
"F8738FA0C888446A8BE4BFD821AD5A9A","D15","ONAQ","ONAQ_021","H9","2014-05-28","MAM.ONAQ.2014.06",6,0
"F0CB1301FC28490198D26F4147DC0C16","D15","ONAQ","ONAQ_021","H2","2014-05-28","MAM.ONAQ.2014.06",5,0
"F3569371EF38484FBAD7624BA63B6823","D15","ONAQ","ONAQ_008","E5","2014-05-28","MAM.ONAQ.2014.06",5,0
"EC9A34261506464EB5CCDA010258C734","D15","ONAQ","ONAQ_021","G8","2014-05-28","MAM.ONAQ.2014.06",6,0
"5B8DCCE71579400C92AD1286E10E79A7","D15","ONAQ","ONAQ_021","H1","2014-05-28","MAM.ONAQ.2014.06",6,0
"2B0E10161D63417CBAC4711407712403","D15","ONAQ","ONAQ_021","G5","2014-05-28","MAM.ONAQ.2014.06",6,0
"91B2E867BE984B92AA5673588FCFF689","D15","ONAQ","ONAQ_021","G7","2014-05-28","MAM.ONAQ.2014.06",6,0
"043297372FD64FA8A33654C46989FEC0","D15","ONAQ","ONAQ_021","G9","2014-05-28","MAM.ONAQ.2014.06",6,0
"050879CDFF9F41CBAD957123CAA1AB56","D15","ONAQ","ONAQ_021","G2","2014-05-28","MAM.ONAQ.2014.06",6,0
"B9D3A31313CF4C7981D33D65D53A8441","D15","ONAQ","ONAQ_021","G1","2014-05-28","MAM.ONAQ.2014.06",6,0
"9D76BB11EF7F4729808E98602CC6EB5D","D15","ONAQ","ONAQ_021","H10","2014-05-28","MAM.ONAQ.2014.06",6,0
"4D49D271A9F345D3B95A93C278BED13E","D15","ONAQ","ONAQ_003","I10","2014-05-28","MAM.ONAQ.2014.06",6,0
"96B7BD62C71948B0B4AD9193043E8C17","D15","ONAQ","ONAQ_021","I10","2014-05-28","MAM.ONAQ.2014.06",6,0
"CB13F41266704DFCA25130582FDD7A02","D15","ONAQ","ONAQ_021","D10","2014-05-28","MAM.ONAQ.2014.06",6,0
"C088BB23C34C4D3892BB97B6AF122C43","D15","ONAQ","ONAQ_014","F10","2014-05-28","MAM.ONAQ.2014.06",6,0
"707D4B9FBFA341248F4FC40BFB2FF398","D15","ONAQ","ONAQ_021","E10","2014-05-28","MAM.ONAQ.2014.06",6,0
"BF0C677A84FB4896B0EC877F285ECF9E","D15","ONAQ","ONAQ_021","C10","2014-05-28","MAM.ONAQ.2014.06",6,0
"7F77A8C2366442D5AD62AC3C005C44B9","D15","ONAQ","ONAQ_003","F10","2014-05-28","MAM.ONAQ.2014.06",5,0
"0BEFB25B0607446F918A706597BB62AE","D15","ONAQ","ONAQ_014","G10","2014-05-28","MAM.ONAQ.2014.06",6,0
"58688A9D8D42433985ACF7AF891A2463","D15","ONAQ","ONAQ_003","J10","2014-05-28","MAM.ONAQ.2014.06",5,0
"6CB2937367334163A5D89B5F3505BF11","D15","ONAQ","ONAQ_014","D6","2014-05-28","MAM.ONAQ.2014.06",6,0
"D538FC1F1608437A8C892C28B4F3AE96","D15","ONAQ","ONAQ_014","C10","2014-05-28","MAM.ONAQ.2014.06",6,0
"EEAA7026DCB14B9A90248673E52CFF03","D15","ONAQ","ONAQ_014","D2","2014-05-28","MAM.ONAQ.2014.06",6,0
"92B92FB0795F456C9483F129ADB08212","D15","ONAQ","ONAQ_014","D7","2014-05-28","MAM.ONAQ.2014.06",6,0
"D6CA7828B25A403B84EFE2429481CC71","D15","ONAQ","ONAQ_014","D3","2014-05-28","MAM.ONAQ.2014.06",6,0
